trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.60653065971263342}",20,0,-90.7064653563616,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-230.11378220403932,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,0,-68.32431479527922,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,2,-47.250465953361335,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,16,7.09709555753174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,0,-66.04402834056842,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.030197383422318501}",25,4,-72.86038429463318,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.018315638888734179}",25,12,-22.777386560449102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,10,2.041937965969031,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.006737946999085467}",20,3,-35.30485710598087,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.0040867714384640666}",25,0,-3.5288502045377044,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,14,11.240475939590507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,-10.384946520809736,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.00091188196555451624}",35,28,12.979355877977016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.00055308437014783363}",20,0,18.863060551953183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00033546262790251185}",35,27,-10.11540649558226,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.00020346836901064417}",25,15,4.84371185071211,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,1,7.130903463793093,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 7.4851829887700598e-05}",20,0,-35.91988513966582,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 4.5399929762484854e-05}",20,2,22.429453602788257,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0}",25,8,-19.623132974737505,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 0}",20,8,24.836550854822136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",30,20,13.315453461825168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",25,0,19.943963639800636,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",20,16,6.362966846534894,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",20,1,-16.492316464777467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 0}",20,7,-7.035852817297506,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0}",25,0,19.634976289830938,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0}",25,16,17.279279736037164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",30,4,-23.280998659233703,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 1}",1
