trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-69.89158096415403,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-29.083892226868365,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-179.28320170841602,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-50.9985820253472,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-116.0362387488717,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-164.53501744665866,"{0: 15, 1: 5, 2: 0, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-205.8893817447502,"{0: 10, 1: 4, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-59.792808103849325,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-199.43786432114916,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-131.39081219509723,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-92.95445035496851,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,0,-44.396841098422215,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-144.5433611760212,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-186.64095674559903,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-219.25458075562742,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-142.38306951304364,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-44.542194267519704,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-49.54672703721635,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-129.71692003896416,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-80.32795165202289,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,8,-60.60476845189926,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,9,-42.22630184212755,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",35,23,-49.61166153791998,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,10,-16.63675289563504,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,0,-159.62433531133715,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-38.22985876154683,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-152.6412603253198,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,12,-40.92018682785399,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-102.34387593531027,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-34.29429273713324,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,0,-98.66433235389283,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,11,-10.96801566173297,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,0,-119.37525050375129,"{0: 22, 1: 5, 2: 0, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-73.55237811572736,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,7,-14.169292557711866,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-53.34999308900825,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-110.38394023340109,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-5.216540365392843,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-150.61489722708959,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,0,-127.89137160824951,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",30,0,-97.24653989644591,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-99.47001468290844,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-8.148948502842895,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-71.96323326713986,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,0,-67.14306178227407,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,1,-20.73367064651429,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",30,0,-161.04925426981123,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-72.36186436397135,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,0,-158.17651717621075,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",20,0,-71.95368734578456,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,7,5.288383865207876,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-35.796372658174626,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,0,-42.55986754260108,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,0,-85.28656781252221,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-117.04405120238344,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-124.13946850584627,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",25,3,-40.18487487946876,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",25,18,11.43736454506247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,5,-89.94841499376265,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",30,0,-91.1785125319938,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",25,0,-106.68748460412561,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-62.027257234703306,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,0,-55.199489430701874,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,9,-36.761758233887655,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,7,-1.0093245171131766,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,16,-14.037366148098899,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
