trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.45791377529923,"{0: 22, 1: 0, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.1979938843925,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.45461392052617,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-260.2382879176082,"{0: 11, 1: 0, 2: 7, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.86982040344961,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.46840306576192,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,11,-45.589657839480154,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.51119168677583,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.71197485340859,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.33092262332943,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.22062785638498,"{0: 14, 1: 5, 2: 3, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.25590471327001,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.24108307467012,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.8652137535099,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,11,-68.48298291287081,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-39.737478629624306,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.95160750248436,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.90982992804732,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.41013593211994,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.123887849097507,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.49887884557424,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.0605511777467,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.62495533010777,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.45787646079833,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.937959341986,"{0: 9, 1: 6, 2: 9, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-191.2047594503648,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.06298419969202,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.3724302540784,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.79683741783919,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.05472533500543,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
